source_column,mapped_column,dimension
customer_name,customer_level_1,customer
customer_sector,customer_level_2,customer
customer_size,customer_level_3,customer
customer_type,customer_level_4,customer
is_organic,customer_level_5,customer
anon_customer_size,customer_level_6,customer
anon_sic_section,customer_level_7,customer
client_business_type,customer_level_8,customer
company_size,customer_level_9,customer
customer_name,customer_name,customer
region,customer_region,customer
is_recurring,revenue_type,null
service_line,product_level_1,product
subservice,product_level_2,product
month,month,null
revenue,revenue,null
entity_id,other_dim_1,other
entity,other_dim_2,other